t,q[shoulder_pan],q[shoulder_lift],q[elbow_flex],q[wrist_flex],q[wrist_roll],qd[shoulder_pan],qd[shoulder_lift],qd[elbow_flex],qd[wrist_flex],qd[wrist_roll],qref[shoulder_pan],qref[shoulder_lift],qref[elbow_flex],qref[wrist_flex],qref[wrist_roll],tau_pid[shoulder_pan],tau_pid[shoulder_lift],tau_pid[elbow_flex],tau_pid[wrist_flex],tau_pid[wrist_roll],tau_dist[shoulder_pan],tau_dist[shoulder_lift],tau_dist[elbow_flex],tau_dist[wrist_flex],tau_dist[wrist_roll],tau_total[shoulder_pan],tau_total[shoulder_lift],tau_total[elbow_flex],tau_total[wrist_flex],tau_total[wrist_roll]
0.02800000000000001,-0.057812427272657986,-1.5696726033138682,1.546209928087548,0.9345633175691844,0.0002703039253110279,0.7685500346552355,2.0410504554353883,-1.3627327851426154,-1.516355094162199,-0.005670074812008363,-0.07572479999991873,-1.5874600000006447,1.5480199999993245,0.9485320000002548,0.0,-3.225435957733291,-2.4420691903163423,0.4604839895889579,1.0042037646340092,0.002718767779498529,0.0767638298990493,0.5579979800455497,0.7848522384988336,0.6568392163774214,0.19424347609987846,-3.1486721278342418,-1.8840712102707926,1.2453362280877915,1.6610429810114304,0.196962243879377
0.030000000000000013,-0.05631513425315937,-1.5655569298449057,1.5433957626179045,0.9314490735081469,0.0002586234328620739,0.7486465097493085,2.0578367344812514,-1.4070827348218125,-1.5571220305187692,-0.0058402462244769955,-0.07564799999991881,-1.585850000000644,1.546449999999325,0.9475700000002545,0.0,-3.271158017864236,-2.565825330037116,0.5301023598556028,1.0758080706014046,0.003057440662244418,0.08304422476690418,0.5609301092104595,0.7874383841622852,0.653871537462495,0.1905828219853915,-3.188113793097332,-2.004895220826657,1.317540744017888,1.7296796080638996,0.19364026264763592
0.032000000000000015,-0.05486109064594319,-1.561425429510741,1.5405043017167848,0.9282654270667807,0.0002478136539812762,0.7270218036080915,2.0657501670822893,-1.4457304505598902,-1.5918232206830694,-0.005404889440398866,-0.07557119999991889,-1.5842400000006434,1.5448799999993257,0.9466080000002542,0.0,-3.309207357941186,-2.6777960894440502,0.5981271747845462,1.144557512145878,0.002718728386093271,0.08867323518439413,0.5611692187258872,0.7838497870660588,0.6502851738502201,0.18396176478265708,-3.2205341227567916,-2.116626870718163,1.381976961850605,1.7948426859960982,0.18668049316875035
0.034000000000000016,-0.053452721990856655,-1.5572938864047032,1.5375456463824468,0.9250235927523748,0.0002381951959123704,0.7041843275432667,2.0657715530188727,-1.4793276671689204,-1.6209171572029752,-0.004809229034452892,-0.07549439999991897,-1.5826300000006426,1.5433099999993265,0.945646000000254,0.0,-3.3407868367714366,-2.778723224555618,0.6647016118705695,1.210548825368067,0.0021882084211742015,0.09806013032139275,0.5631109982683826,0.7830614597840524,0.6476900242758066,0.18011077788366062,-3.242726706450044,-2.2156122262872353,1.447763071654622,1.8582388496438735,0.18229898630483482
0.03600000000000002,-0.05209107097711682,-1.5531758153485458,1.5345296065028966,0.921734058086923,0.00022977943687903116,0.6808255068699162,2.0590355280787755,-1.5080199397751277,-1.6447673327258716,-0.004207879516669624,-0.07541759999991905,-1.581020000000642,1.541739999999327,0.9446840000002538,0.0,-3.367690249055818,-2.869654613744328,0.7296235335117723,1.2738267714618217,0.0016358071278343924,0.10254636408993456,0.5680862701271622,0.7845200929089314,0.6426079768308985,0.17510893122171653,-3.2651438849658834,-2.301568343617166,1.5141436264207038,1.9164347482927202,0.17674473834955093
0.03800000000000002,-0.0507771673129021,-1.5490824989197327,1.5314656502289503,0.9184061611130788,0.00022235923130536632,0.6569518321073609,2.04665821440648,-1.531978136973124,-1.6639484869220607,-0.003710102786832422,-0.07534079999991913,-1.5794100000006412,1.540169999999328,0.9437220000002535,0.0,-3.389862972777716,-2.9517014902570864,0.7927191021325073,1.3346069610504756,0.001184404094547281,0.10534944131701782,0.5721483990956602,0.7832041877651776,0.6414968250489766,0.17064033835739179,-3.284513531460698,-2.3795530911614264,1.575923289897685,1.9761037860994524,0.17182474245193907
0.04000000000000002,-0.04951161562966641,-1.5450236995764266,1.528362338762422,0.9150490768530204,0.00021576492675239866,0.6327758416178426,2.0293996716530245,-1.5516557332641767,-1.678542130029192,-0.0032971522764838252,-0.07526399999991921,-1.5778000000006407,1.5385999999993285,0.9427600000002533,0.0,-3.40783646962064,-3.0255373909551952,0.8540404077243082,1.392762991719037,0.0008155824214549547,0.10908569055720678,0.5754316455444191,0.7796078730779926,0.6361717647769582,0.16649885347579516,-3.298750779063433,-2.4501057454107764,1.633648280802301,2.028934756495995,0.16731443589725012
0.04200000000000002,-0.04829435065985708,-1.541007769949333,1.525227481734353,0.9116707166807768,0.00020985597414016044,0.608632484904667,2.0079648135468338,-1.5674285140345092,-1.6891800861218096,-0.00295447630611911,-0.0751871999999193,-1.5761900000006401,1.537029999999329,0.9417980000002529,0.0,-3.4225196043707964,-3.091815029812255,0.9136084456592103,1.4485789426253115,0.0005151614396490677,0.11568037690549832,0.575463623449478,0.7814757227753721,0.6314070028328147,0.1631702280609354,-3.3068392274652982,-2.516351406362777,1.6950841684345823,2.079985945458126,0.16368538950058448
0.044000000000000025,-0.04712453452917777,-1.5370421889499364,1.5220690114386917,0.9082784070605321,0.00020452335905499585,0.5849080653396556,1.9827904996982733,-1.5792351478306585,-1.6961548101223727,-0.0026663075425822896,-0.07511039999991939,-1.5745800000006394,1.53545999999933,0.9408360000002527,0.0,-3.4350139809045044,-3.1508467833354756,0.9711344158661281,1.502113022460758,0.0002672134631630306,0.11752907753887054,0.58144190525769,0.7846579289197001,0.6281777405300396,0.15773335221437954,-3.3174849033656337,-2.5694048780777856,1.7557923447858284,2.1302907629907977,0.15800056567754256
0.04600000000000003,-0.04600168225174792,-1.5331324274009481,1.5188944071802066,0.9048790555131836,0.0001996443207896461,0.5614261387149234,1.9548807744940822,-1.587302129242467,-1.6996757736742365,-0.0024395191326748774,-0.07503359999991947,-1.5729700000006388,1.5338899999993305,0.9398740000002525,0.0,-3.444877083122646,-3.2038194026109448,1.0265450286973605,1.5533737208163236,8.089420766530745e-05,0.12051273352751858,0.587077298628617,0.7838470411705006,0.6249537046847956,0.1512636859055115,-3.3243643495951276,-2.616742103982328,1.810392069867861,2.178327425501119,0.1513445801131768
